band_color,band_material,band_width,case_diameter,case_material,case_thickness,discount,img,item_weight,manufacturer,mrp,num_ratings,pay_on_delivery,rating,returnable,sp,title,warranty
NA,Stainless Steel Black Plated,24 Millimeters,5.2 Centimeters,Stainless Steel,18 Millimeters,-71%,https://m.media-amazon.com/images/I/41uhGFB2nPL._SY300_SX300_.jpg,NA,Shocknshop,₹285,"1,542 ratings",TRUE,3.7,TRUE,285,Shocknshop Stainless Steel Watch Series Analogue Men's Watch (Black Dial Mens Long Colored Strap) -W219,manufacturer
NA,Leather,20 Millimeters,37.5 Millimeters,Alloy Steel,8 Millimeters,-78%,https://m.media-amazon.com/images/I/41-foceMDKL._SY300_SX300_.jpg,NA,TIMEWEAR, ,822 ratings,TRUE,3.7,TRUE,329,TIMEWEAR Analog New Track Number Dial Day Date Functioning Leather Strap Watch for Men,One Year Manufacturer Warranty
NA,Polyurethane,20 Millimeters,36 Millimeters,PU,10,-79%,https://m.media-amazon.com/images/I/41SrxS4-vrL._SX300_SY300_QL70_FMwebp_.jpg,30 Grams,Acnos, ,934 ratings,TRUE,4.1,TRUE,310,Acnos® Premium Brand Arrow Blk Arrow Boys Mens Black Wrist Watch for Boys Analog Watch for Men Pack of 1,1 Years Warranty Against The Manufacture Defect Only
NA,Silicone,23.5 Millimeters,5.3 Centimeters,Plastic,11.5 Millimeters,-14%,https://m.media-amazon.com/images/I/41oPEq3QY5L._SY300_SX300_.jpg,150 Grams,Fastrack,₹855,172 ratings,TRUE,3.9,TRUE,855,Fastrack Analog Unisex-Adult Watch,NA
NA,Leather,22 Millimeters,26 Millimeters,Alloy Steel,6 Millimeters,-76%,https://m.media-amazon.com/images/I/31P4vY5q4JS._SY300_SX300_.jpg,NA,TIMEWEAR, ,"1,057 ratings",TRUE,3.6,TRUE,339,TIMEWEAR Analog Slim Two Hands Analog Watch for Men,One Year Manufacturer Warranty
NA,Leather,22 Millimeters,48 Millimeters,Brass,7.7 Millimeters,-17%,https://m.media-amazon.com/images/I/41Sz6I9KnAL._SY300_SX300_.jpg,190 Grams,Titan,"₹2,695",174 ratings,TRUE,4.3,TRUE,"2,695",Titan Black Dial Analog Watch for Men -NR1802SL11,2 years
NA,Leather,20 Millimeters,40 Millimeters,Brass,8.8 Millimeters,-20%,https://m.media-amazon.com/images/I/41UiNfU1NcL._SY300_SX300_.jpg,52 Grams,TIMEX, ,"1,168 ratings",TRUE,4,TRUE,"1,276",Timex Analog White Dial Men's Watch-TW00ZR260E,"1 Years manufacturer warranty from the date of purchase: How to avail Warranty? • To claim your warranty, produce either original bill copy/invoice or warranty card at any authorized Timex service centre. • For any service related enquiries and feedback, call Timex India toll free number 1800 419 2727 Monday to Sunday, 10.00 am to 7.00 pm(except government holidays) or mail at custservice@timexindia.com, feedback@timexindia.com"
NA,Leather,20 Millimeters,40 Millimeters,Brass,8.8 Millimeters,-20%,https://m.media-amazon.com/images/I/41XKuowXpWL._SY300_SX300_.jpg,52 Grams,TIMEX, ,"14,939 ratings",TRUE,4.1,TRUE,"1,276",TIMEX Analog Men's Watch (Dial Colored Strap),"1 Years manufacturer warranty from the date of purchase: How to avail Warranty? • To claim your warranty, produce either original bill copy/invoice or warranty card at any authorized Timex service centre. • For any service related enquiries and feedback, call Timex India toll free number 1800 419 2727 Monday to Sunday, 10.00 am to 7.00 pm(except government holidays) or mail at custservice@timexindia.com, feedback@timexindia.com"
NA,Resin,22.00 Centimeters,5.4 Centimeters,Plastic,19 Millimeters,-55%,https://m.media-amazon.com/images/I/41J6ZORswwL._SY300_SX300_.jpg,NA,V2A,₹679,"2,850 ratings",TRUE,3.8,TRUE,679,V2A Chronograph Analogue and Digital Sports Watch for Men | Watch for Men | Wrist Watch for Men | Mens Watch | Watch,"1 Year Domestic Warranty from any manufacturing defects. Battery, Plating and Waterproofing are not covered under warranty"
NA,Stainless Steel,20 Millimeters,45 Millimeters,Stainless Steel,11 Millimeters,-20%,https://m.media-amazon.com/images/I/41KLe886QbL._SY300_SX300_.jpg,118 Grams,Casio, ,967 ratings,TRUE,4.4,TRUE,"2,396",Casio Analog Black Dial Men's Watch-MTP-VD01D-1E2VUDF (A1734),
NA,Leather,22 Millimeters,35 Millimeters,Alloy Steel,7 Millimeters,-82%,https://m.media-amazon.com/images/I/41snzcfXPpL._SY300_SX300_.jpg,NA,TIMEWEAR,₹399,"13,846 ratings",TRUE,3.8,TRUE,399,TIMEWEAR Analog Men's Watch (Dial Colored Strap),One Year Manufacturer Warranty
NA,Leather,22 Millimeters,35 Millimeters,Alloy Steel,7 Millimeters,-82%,https://m.media-amazon.com/images/I/41snzcfXPpL._SY300_SX300_.jpg,NA,TIMEWEAR, ,"13,846 ratings",TRUE,3.8,TRUE,399,TIMEWEAR Analog Men's Watch (Dial Colored Strap),One Year Manufacturer Warranty
NA,Stainless Steel,23 Millimeters,38 Millimeters,Silver,13 Millimeters,-60%,https://m.media-amazon.com/images/I/51NFl1gAIfL._SX300_SY300_QL70_FMwebp_.jpg,152 Grams,LONGBO, ,472 ratings,TRUE,4,TRUE,722,LONGBO Silver Business Casual Stainless Steel Decorative Subdials Big Black Dial Scratch Resistant Waterproof Watch for Men and Boys,"1 Year Domestic Warranty from any manufacturing defects. Battery, Plating and Waterproofing are not covered under warranty"
NA,Stainless Steel,20 Millimeters,38 Millimeters,Brass,8.6 Millimeters,-5%,https://m.media-amazon.com/images/I/41nJNb3LBqL._SY300_SX300_.jpg,150 Grams,Sonata,₹899,873 ratings,TRUE,4.3,TRUE,899,Sonata Analog watch For Men-NR77082SM01,
NA,Stainless Steel,20,38,Brass,10 Millimeters,-20%,https://m.media-amazon.com/images/I/41Ph89BnEtL._SY300_SX300_.jpg,150 Grams,Titan,"₹1,596",165 ratings,TRUE,4.1,TRUE,"1,596",Titan Silver White Dial Analog Watch For Men -NL1581SM03,
NA,Leather,35 Millimeters,35 Millimeters,Stainless Steel,8 Millimeters,-79%,https://m.media-amazon.com/images/I/51R3i7l7AgL._SX300_SY300_QL70_FMwebp_.jpg,30 Grams,Acnos, ,"5,846 ratings",TRUE,3.6,TRUE,426,Acnos® Premium Brown Blue and Black Analog Watches for Men Pack of - 3 and Brand Box (l-01-02-05),1 year
NA,Leather,20 Millimeters,44 Millimeters,Stainless Steel,3.6 Millimeters,-10%,https://m.media-amazon.com/images/I/41lJ3v-sg2L._SY300_SX300_.jpg,150 Grams,Titan, ,133 ratings,TRUE,4.2,TRUE,"9,895",Titan Analog Watch for Men -NR1595WL09,
NA,Stainless Steel,14 Millimeters,34 Millimeters,NA,8 Millimeters,-40%,https://m.media-amazon.com/images/I/41-zK4YWpES._SY300_SX300_.jpg,118 Grams,Fossil,"₹7,197","3,116 ratings",TRUE,4.5,TRUE,"7,197",Fossil Analog Rose Gold Dial Women's Watch-BQ3181,NA
NA,Stainless Steel,24 Millimeters,50 Millimeters,Stainless Steel,10 Millimeters,-73%,https://m.media-amazon.com/images/I/51tv332FTuL._SY300_SX300_.jpg,120 Grams,SWADESI STUFF, ,318 ratings,TRUE,3.6,TRUE,399,SWADESI STUFF Multi Dial Chronograph Luxury Quartz Analog Watch for Men,6 Months
NA,Plastic,22 Millimeters,49 Millimeters,Stainless Steel,15.3 Millimeters,-39%,https://m.media-amazon.com/images/I/51uXwpacfFS._SY300_SX300_.jpg,46 Grams,Fastrack,"₹1,137","1,225 ratings",TRUE,4.2,TRUE,"1,137",Fastrack Silver Dial Analog Watch For Men -NP9332PP06,
NA,NA,NA,NA,NA,NA,-80%,https://m.media-amazon.com/images/I/51tSY+bQgFL._SY300_SX300_.jpg,NA,NA,₹399,"1,375 ratings",TRUE,3.8,TRUE,399,HEMT Analog Multi Color Dial Men's Watch-HM-GR092-,NA
NA,NA,NA,NA,NA,NA,-25%,https://m.media-amazon.com/images/I/41-Th3nP4aL._SX300_SY300_QL70_FMwebp_.jpg,NA,NA,"₹1,646.25",365 ratings,TRUE,4.5,TRUE,"1,646",Casio Analog Silver Dial Men's Watch-MTP-V005L-7B5UDF,NA
NA,Leather,22 Millimeters,48 Millimeters,Brass,7.7 Millimeters,-17%,https://m.media-amazon.com/images/I/41Sz6I9KnAL._SY300_SX300_.jpg,190 Grams,Titan, ,174 ratings,TRUE,4.3,TRUE,"2,695",Titan Black Dial Analog Watch for Men -NR1802SL11,2 years
NA,Stainless Steel,22 Millimeters,42 Millimeters,Stainless Steel,10 Millimeters,-88%,https://m.media-amazon.com/images/I/51b40E7VyyL._SY300_SX300_.jpg,NA,Matrix, ,"1,393 ratings",TRUE,3.6,TRUE,299,"Matrix Blue, Black & Silver Dial, Day & Date Functioning, Stainless Steel Strap Analog Watch for Men & Women",1 Year Manufacturer Warranty
NA,Stainless Steel,18 Millimeters,41 Millimeters,Stainless Steel,9.6 Millimeters,-40%,https://m.media-amazon.com/images/I/41MQgIAO4gL._SY300_SX300_.jpg,55 Grams,Casio, ,10 ratings,TRUE,4.4,TRUE,"2,157",Casio Analog Black Dial Men's Watch-MTP-VD02D-1EUDF,NA
NA,Stainless Steel,20,45,Stainless Steel,12 Millimeters,-85%,https://m.media-amazon.com/images/I/41UKdzu7GyL._SY300_SX300_.jpg,180 Grams,LOUIS DEVIN,₹359,"1,235 ratings",TRUE,3.8,TRUE,359,LOUIS DEVIN WT005 Stainless Steel Chain Analog Wrist Watch for Men,NA
NA,Stainless Steel,22 Millimeters,38 Millimeters,Alloy Steel,8 Millimeters,-72%,https://m.media-amazon.com/images/I/51j5h2m-WYL._SY300_SX300_.jpg,100 Grams,TIMEWEAR,₹249,"1,088 ratings",TRUE,3.9,TRUE,249,TIMEWEAR Analog Minute Track Dial Stainless Steel Chain Watch for Men,One Year Manufacturer Warranty
NA,Silicone,25 Millimeters,5.4 Centimeters,Plastic,12.55 Millimeters,-10%,https://m.media-amazon.com/images/I/41iy2A9CJML._SY300_SX300_.jpg,150 Grams,Fastrack,₹805,545 ratings,TRUE,4.1,TRUE,805,Fastrack Analog Grey Dial Unisex-Adult Watch-68011PP08/NR68011PP08,1 year
NA,Plastic,22 Millimeters,35 Millimeters,"Plastic, Alloy Steel",8 Millimeters,,https://m.media-amazon.com/images/I/41F88lRIcAL._SY300_SX300_.jpg,45 Grams,Sonata,₹549,830 ratings,TRUE,4.2,TRUE,549,Sonata White Dial Analog watch For Men-NR7921PP15,
NA,Stainless Steel,22.00 Centimeters,4.40 Centimeters,Stainless Steel,1.00 Centimeters,-47%,https://m.media-amazon.com/images/I/519vG2zKkdL._SX300_SY300_QL70_FMwebp_.jpg,NA,Carlson Raulen, ,140 ratings,TRUE,3.7,TRUE,"1,599",Carlson Raulen Chronograph Men Waterproof Luxury Fashion Military Design Quartz Sports Analog Wristwatches,no warranty
NA,NA,NA,NA,NA,NA,-25%,https://m.media-amazon.com/images/I/41ZXdQOEvHL._SX300_SY300_QL70_FMwebp_.jpg,NA,NA,"₹1,946.25",256 ratings,TRUE,4.3,TRUE,"1,946",Casio Analog Black Dial Men's Watch-MTP-V005D-1B5UDF,NA
NA,Stainless Steel,20 Millimeters,38 Millimeters,Brass,8.6 Millimeters,-5%,https://m.media-amazon.com/images/I/41nJNb3LBqL._SY300_SX300_.jpg,150 Grams,Sonata, ,873 ratings,TRUE,4.3,TRUE,899,Sonata Analog watch For Men-NR77082SM01,
NA,Silicone,20 Millimeters,41 Millimeters,Stainless Steel,8 Millimeters,-67%,https://m.media-amazon.com/images/I/41feKbO2NHL._SY300_SX300_.jpg,200 Grams,FCUK,"₹1,154",3 ratings,TRUE,3.3,TRUE,"1,154",FCUK Analog Black Dial Men's Watch-FK0011C,NA
NA,Stainless Steel,22 Millimeters,45 Millimeters,Stainless Steel,12 Millimeters,-79%,https://m.media-amazon.com/images/I/41hLTZxXcJL._SY300_SX300_.jpg,NA,Shocknshop, ,110 ratings,TRUE,3.6,TRUE,375,Shocknshop Analog Black Stainless Steel Chain Wrist Watch for Men Boys (Black Colored Dial Strap),Manufecturing Defects
NA,Silicone,25 Millimeters,49.9 Millimeters,Plastic,16 Millimeters,-22%,https://m.media-amazon.com/images/I/41x4RcgEOSL._SY300_SX300_.jpg,190 Grams,Fastrack,"₹1,240",196 ratings,TRUE,4.2,TRUE,"1,240",Fastrack Blue Dial Analog Watch for Men -NR38058PP01,NA
NA,Stainless Steel,22 Millimeters,42 Millimeters,Stainless Steel,10 Millimeters,-88%,https://m.media-amazon.com/images/I/51b40E7VyyL._SY300_SX300_.jpg,NA,Matrix, ,"1,393 ratings",TRUE,3.6,TRUE,299,"Matrix Blue, Black & Silver Dial, Day & Date Functioning, Stainless Steel Strap Analog Watch for Men & Women",1 Year Manufacturer Warranty
